R,G,B
2,71,254
1,70,253
3,68,254
2,67,253
2,65,254
2,65,254
1,64,253
2,62,254
1,61,253
2,60,255
1,59,254
1,59,254
0,56,253
0,56,253
1,55,252
2,54,252
4,51,251
4,50,250
6,49,250
5,48,249
11,47,245
13,46,245
14,46,243
15,44,242
15,43,240
16,42,240
18,42,238
17,41,237
21,37,238
21,37,238
23,36,236
25,34,233
27,33,231
29,33,229
29,31,227
31,31,225
31,29,226
31,29,224
32,29,224
34,27,221
37,25,219
38,25,218
40,24,218
41,24,218
42,23,213
43,22,213
46,21,211
49,20,209
51,19,208
52,17,207
52,17,205
52,17,205
55,17,201
56,16,201
55,15,200
56,14,199
59,13,199
61,13,197
60,12,196
61,11,196
61,7,189
61,7,189
64,6,188
65,5,188
68,4,186
69,4,186
71,3,184
72,3,184
70,5,183
75,4,184
74,4,181
74,5,182
76,3,180
80,1,180
78,5,180
60,1,171
251,89,87
253,1,0
250,2,0
254,1,3
255,2,0
252,2,4
252,4,2
254,5,3
254,5,1
253,6,1
253,6,1
254,7,0
255,8,1
253,9,1
254,10,2
254,10,2
255,11,1
254,12,1
254,12,0
255,13,1
255,15,2
253,15,2
254,17,1
254,17,1
254,19,0
254,19,0
255,20,1
254,22,2
254,22,0
254,24,1
254,24,1
254,25,2
255,26,2
255,28,3
255,28,3
255,30,2
255,31,1
255,32,1
255,33,2
255,33,0
253,36,1
254,37,2
254,37,2
253,39,2
254,41,1
254,42,2
255,43,3
255,44,1
254,47,0
255,48,0
254,48,0
254,50,0
253,52,0
254,53,0
254,55,0
254,55,0
255,56,1
255,57,2
254,58,0
254,59,1
254,62,0
255,63,1
254,65,1
255,66,2
255,68,1
253,68,1
254,69,2
254,71,1
255,72,2
255,75,1
255,75,1
255,76,1
254,78,2
255,79,3
253,80,1
254,81,2
254,83,1
255,84,2
255,86,1
255,86,1
254,89,0
254,91,0
254,91,0
253,92,1
254,93,2
254,95,1
255,96,2
255,96,2
255,99,0
255,99,0
254,100,0
254,100,0
254,102,1
253,104,1
253,106,2
253,106,2
254,107,1
254,107,1
254,109,0
255,110,1
254,112,0
254,112,0
254,114,0
254,114,0
255,115,2
255,115,0
254,117,1
254,119,1
254,121,2
255,122,1
253,123,1
254,124,2
254,126,1
254,126,1
255,127,2
254,129,1
253,130,1
254,131,2
255,132,3
254,133,2
253,135,0
254,136,0
254,137,0
254,138,0
253,140,0
254,141,0
255,143,0
254,143,0
254,146,0
253,147,0
253,148,0
254,149,0
254,151,0
253,152,0
253,153,0
254,154,0
254,155,0
255,156,1
254,157,0
255,158,1
254,160,0
255,161,1
255,163,0
255,163,0
254,166,0
254,167,0
254,167,0
255,168,0
255,170,0
254,172,0
255,173,1
255,173,1
255,175,2
255,175,0
254,177,1
254,177,0
254,179,0
255,180,0
255,182,0
255,182,0
254,184,0
254,184,0
255,185,0
255,187,0
253,188,0
254,189,0
255,191,0
254,191,0
255,192,0
253,193,0
254,194,0
254,196,0
254,196,0
254,198,0
254,198,0
255,199,0
255,199,2
254,200,3
254,200,3
254,203,2
254,203,0
253,205,1
254,206,2
254,206,0
253,207,0
254,208,1
254,208,1
254,208,1
254,210,1
254,210,1
254,210,1
255,211,2
255,212,3
255,212,3
254,212,3
254,212,3
255,214,2
255,214,2
254,214,2
254,214,2
253,217,1
255,216,1
255,215,3
254,214,2
252,215,2
250,217,2
247,216,3
246,217,3
240,217,1
238,218,1
236,217,1
233,217,0
230,217,1
228,217,1
224,218,2
224,218,2
220,217,2
220,217,2
216,217,1
212,217,1
208,217,2
203,217,0
200,217,1
198,217,1
195,216,1
192,216,0
190,215,0
185,214,0
180,213,0
176,212,0
173,211,1
171,211,0
165,211,1
162,210,0
158,210,1
154,210,1
149,209,0
145,207,0
143,206,1
141,206,2
131,206,0
128,206,0
126,205,0
122,203,0
119,202,0
116,200,0
112,199,0
111,199,0
101,199,2
100,197,2
96,198,1
91,197,1
88,195,1
83,194,1
78,193,1
78,193,2
68,193,1
66,193,2
63,192,1
60,191,1
55,190,2
50,189,2
48,188,1
47,187,2
42,186,2
40,186,1
37,185,1
33,185,2
30,184,2
25,183,0
23,182,1
21,183,1
18,181,2
17,180,1
15,180,2
12,179,1
10,179,2
6,177,1
4,176,2
